Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,perc_per_text,perc_wood_text,perc_ag_text,floral_symm_text,mating_system_text,repro_syndrome_text,pollination_syndrome_text,redlist_text,tavg_text,cvalue_text,cv_cvalue_text,image_url
Chlorogalum,Asparagaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agriculturally important,radial symmetry,mixed mating system,animal-dispersed seeds,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Chlorogalum_pomeridianum_%28soap_root_plant%29_%287155017691%29.jpg/2112px-Chlorogalum_pomeridianum_%28soap_root_plant%29_%287155017691%29.jpg
Choenomeles,Rosaceae,Rosales,0,0,1,1,0.001060071,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,autogamous,wind-pollinated,low extinction risk,cold climates,small genome,low variation,No image found
Chondrilla,Asteraceae,Asterales,0,0,0.625,0,0.00210989,.,0,1,1,.,.,.,.,About 63% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,dioecious,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,No image found
Choretrum,Santalaceae,Santalales,0,0,1,1,0.002139037,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agroforestry,radial symmetry,selfing,agamospermy,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/8c/Common_sour_bush.JPG
Chorizandra,Cyperaceae,Poales,0,0,1,0,0.00045977,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are cultivated,radial symmetry,mixed mating system,typical reproductive syndrome,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/5/53/Chorizandra_cymbaria_%289623201742%29.jpg
Chorizanthe,Polygonaceae,Caryophyllales,0,0,0,0,0.002727273,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,mixed mating system,self-pollination,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/e/e8/Chorizanthe_rigida_1.jpg
Christella,Thelypteridaceae,Monilophyta,20,0.4,1,0,0,.,.,.,.,3,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,self-pollination,wind-pollinated,moderate risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/2b/Christella_dentata_Chatswood_West.jpg
Chrozophora,Euphorbiaceae,Malpighiales,0,0,0,0,0.01239531,0,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial,selfing,requires pollination,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/1/18/Chrozophora_tinctoria_Habitus_2010-6-25_DehesaBoyaldePuertollano.jpg
Chrysanthemum,Asteraceae,Asterales,0,0,0.3,0,0.00210989,.,.,.,.,.,.,10.451,35.2082587,About 30% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,sexual reproduction,insect-pollinated,low extinction risk,warm climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/b5/Chrysanthemum_nangkingense.jpg
Chrysocephalum,Asteraceae,Asterales,0,0,0.8,0,0.00210989,.,.,.,1,.,.,.,.,About 80% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,sexual reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/5/54/Chrysocephalum_apiculatum.jpg
Chrysocoma,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,radial,selfing,dioecious,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/03/Chrysocoma_coma-aurea_pm.jpg
Chrysolepis,Fagaceae,Fagales,0,0,1,1,0.001492537,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,radial symmetry,self-compatible,vegetative reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/a/aa/Chrysolepis_chrysophylla_Burr.JPG
Chrysopsis,Asteraceae,Asterales,0,0,0.875,0,0.00210989,.,.,.,.,.,.,.,.,About 87.5% of species are perennial,About 0% of species are woody,About 0.21% of species are cultivated,radial symmetry,mixed mating system,obligate xenogamy,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/1/16/Coastalplain_goldenaster_%28Chrysopsis_scabrella%29_%286408192511%29.jpg
Chrysosplenium,Saxifragaceae,Saxifragales,0,0,1,0,0,.,1,0.5,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,vegetative reproduction,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/a/a0/Chrysosplenium_alternifolium_BavariaMay2005a.jpg
Chrysothamnus,Asteraceae,Asterales,0.925925926,0.125,1,0.964285714,0.00210989,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 96% of species are woody,About 0% of species are agricultural,Flowers exhibit radial symmetry,Reproduction involves both selfing and cross-pollination,Reproduces via vegetative means and sexual reproduction,Primarily pollinated by insects,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/c/c9/Chrysothamnusvicidiflorus.JPG
Cicendia,Gentianaceae,Gentianales,0,0,0,0,0,.,1,1,1,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,self-pollination,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/2/24/Cicendia_filiformis_%28detail%29.jpg
Cicer,Fabaceae,Fabales,0,0,0.75,0,0.096494845,.,.,.,.,.,.,1.411333333,14.68291407,About 75% of species are perennial,About 0% of species are woody,About 10% of species are agricultural,radial symmetry,mixed mating system,self-pollination,insect-pollinated,low extinction risk,cold climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/9/96/Cicer_arietinum_HabitusFruitsFlowers_BotGardBln0906.jpg
Cicerbita,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial or bilateral symmetry,mixed mating system,sexual reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/1/14/Mulgedium_alpinum_a1.jpg
Cichorium,Asteraceae,Asterales,0,0,0.714285714,0,0.00210989,.,1,1,1,.,.,.,.,About 71% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,obligate self-pollination,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cichorium_pumilum.jpg
Cicuta,Apiaceae,Apiales,0,0,0.833333333,0,0.003968254,.,1,0.5,1,.,.,.,.,About 83% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,self-pollinating,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/1/10/Illustration_Cicuta_virosa0.jpg
Cinna,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,Unknown floral symmetry,Unknown mating system,Unknown reproductive syndrome,Unknown pollination syndrome,Low extinction risk,Unknown climate,Unknown genome size,Unknown genome variation,No image found
Cinnamomum,Lauraceae,Laurales,0,0,1,1,4.00E-04,.,.,.,1,2.477272727,.,0.6,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are herbaceous,radial,selfing,dioecious,wind-pollinated,moderate risk,cold climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/68/Cinnamomum_verum_10zz.jpg
Circaea,Onagraceae,Myrtales,20,0.5,1,0,0.001538462,.,1,0.333333333,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agroeconomic,radial symmetry,selfing,typical angiosperm reproduction,insect-pollinated,low extinction risk,temperate climates,medium genome,low variation,https://upload.wikimedia.org/wikipedia/commons/f/f7/Circaea_lutetiana01.jpg
Cirsium,Asteraceae,Asterales,0.245630609,0.178082192,0.57615894,0,0.00210989,.,1,0.666666667,1,.,.,1.463684211,31.65784155,About 58% of species are perennial,About 0% of species are woody,About 0% of species are cultivated,radial,mixed mating,typically animal-dispersed,insect-pollinated,low extinction risk,temperate climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/6/62/Cirsium_heterophyllum_5_RF.jpg
Cistanche,Orobanchaceae,Lamiales,0,0,1,0,0,1,.,.,.,.,.,9.435,0,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,dioecious,insect-pollinated,low extinction risk,temperate climates,large genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/8c/Broomrape_%28Cistanche_tubulosa%29_Negev.jpg
Cistus,Cistaceae,Malvales,15.78947368,1.421052632,1,1,0.011428571,.,.,.,1,.,.,2.327058824,17.25777595,About 100% of species are perennial,About 100% of species are woody,About 1% of species are agricultural,radial symmetry,selfing,herbaceous,insect-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/d/da/Cistus_May_2014-7.jpg
Citrullus,Cucurbitaceae,Cucurbitales,4.761904762,0.142857143,0.285714286,0,0.024852071,0,.,.,.,.,.,0.45,.,About 29% of species are perennial,About 0% of species are woody,About 2% of species are agricultural,radial symmetry,mixed mating system,typically reproduces sexually,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/4/4c/Vampire_watermelon.jpg
Citrus,Rutaceae,Sapindales,0,0,1,1,0.001652893,.,.,.,1,4,.,0.454137931,14.961553,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agromyzid flies,radial,self-compatible,outcrossing,wind-pollinated,high risk,cold climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/b/b0/OrangeBloss_wb.jpg
Cladanthus,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,3.8,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agamic,radial symmetry,mixed mating system,seed reproduction,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/3/33/Cladanthus_arabicus_%28Compositae%29_plant.JPG
Cladium,Cyperaceae,Poales,0,0,1,0,0.00045977,.,1,0,0,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,sexual reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/3/37/Cladium_mariscus.jpeg
Clarkia,Onagraceae,Myrtales,0.769230769,0.15,0,0,0.001538462,.,.,.,.,.,0.655666667,1.849166667,40.32936589,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,sexual reproduction,insect-pollinated,low extinction risk,temperate climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/b1/Clarkia_amoena.jpg
Claytonia,Montiaceae,Caryophyllales,1.13960114,0.148148148,0.553571429,0,0,.,1,1,1,.,.,2.815,31.9014427,About 55% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,normal reproduction,wind-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/3/39/Claytonia_virginica_2_Radnor_Lake.jpg
Cleistogenes,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agriculturally significant,bilateral symmetry,mixed mating system,obligate xenogamy,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/9/92/Cleistogenes_serotina_-_Berlin_Botanical_Garden_-_IMG_8585.JPG
Clematis,Ranunculaceae,Ranunculales,0,0,1,0.814814815,0,0,1,0.666666667,0.8,.,.,10.66818182,22.49928382,About 100% of species are perennial,About 81% of species are woody,About 0% of species are agricultural,radial,selfing,vegetative reproduction,insect-pollinated,low extinction risk,warm climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/7/70/Clematis_%27Nelly_Moser%27.JPG
Cleome,Cleomaceae,Brassicales,0,0,0,0,0.006666667,0.875,.,.,1,0,.,0.31,.,About 0% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial,mixed mating,typical seed reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/99/Cleome_%28Spider_Flower%29_in_Gavi.jpg
Cleomella,Cleomaceae,Brassicales,0,0,0,0,0.006666667,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial symmetry,mixed mating system,vegetative reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/85/Cleomellaplocasperma.jpg
Clermontia,Campanulaceae,Asterales,2.164502165,0.227272727,1,1,0,.,.,.,.,2.923076923,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agamic,radial symmetry,self-incompatible,entomophilous pollination with nectar reward,insect-pollinated,moderate risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/7/7e/Lobelia_niihauensis_%285762180787%29.jpg
Clinopodium,Lamiaceae,Lamiales,0,0,0.8,0,0.004320557,1,1,0.6,1,0.25,.,0.44,.,About 80% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,autogamous,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/0c/Clinopodium_vulgare01.jpg
Clintonia,Liliaceae,Liliales,0,0,1,0,0,.,.,.,.,.,.,18.85,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,sexual reproduction,insect-pollinated,low extinction risk,temperate climates,large genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/d/da/NLW_DeerLake2_tango7174.jpg
Clypeola,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,1,.,.,.,.,0% of species are perennial,0% of species are woody,About 0% of species are agricultural,radial,mixed mating system,likely self-pollinating,wind-pollinated,low extinction risk,cold climates,small genome,low variation,No image found
Cnidium,Apiaceae,Apiales,0,0,0.75,0,0.003968254,.,1,1,1,.,.,.,.,About 75% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,vertebrate pollination,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/7/76/Cnidium_silaifolium0.jpg
Cochlearia,Brassicaceae,Brassicales,1.960784314,0.166666667,0.388888889,0,0.00485306,.,1,0.8,1,.,.,0.642222222,34.37332475,About 39% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,generalist,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/a/a9/Cochlearia_excelsa.jpg
Coincya,Brassicaceae,Brassicales,0,0,0.25,0,0.00485306,.,1,1,1,.,.,.,.,About 25% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,asexual reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/f/fc/IsleofMancabbage.jpg
Colchicum,Colchicaceae,Liliales,0.790513834,0.086956522,1,0,0,.,1,0.5,1,.,.,4.713636364,53.69759852,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,seed reproductive syndrome,insect-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/1/1f/Colchicum_speciosum000.jpg
Coleostephus,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,1,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are annual,radial,mixed mating system,obligate xenogamy,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/f/f1/Coleostephus_February_2008-2.jpg
Collinsia,Plantaginaceae,Lamiales,1.754385965,0.157894737,0,0,0.005925926,.,.,.,.,.,0.592666667,3.2,31.96066919,About 0% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial symmetry,selfing,self-pollinated,insect-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/f/f3/ChineseHouses.jpg
Collomia,Polemoniaceae,Ericales,0,0,0.214285714,0,0,.,1,1,1,.,.,2.08,.,About 21% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,obligate self-pollination,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/7/70/Collomia_linearis_%281%29.jpg
Colobanthus,Caryophyllaceae,Caryophyllales,0,0,1,0,0.001818182,.,.,.,.,.,.,0.7,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,hermaphroditic,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/3/3d/ColobanthusQuitensisIllustration.jpg
Colubrina,Rhamnaceae,Rosales,0,0,1,1,0.004444444,.,.,.,1,3,.,0.93,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agriculturally important,radial,mixed mating system,inconspicuous flowers,wind-pollinated,moderate risk,temperate climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/20/Starr_061222-2598_Colubrina_asiatica.jpg
Colutea,Fabaceae,Fabales,0,0,1,1,0.096494845,.,1,1,1,.,.,0.65,.,About 100% of species are perennial,About 100% of species are woody,About 10% of species are agricultural,radial,selfing,seed reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/2/28/Colutea_orientalis_-_Feuillage.jpg
Comesperma,Polygalaceae,Fabales,0,0,1,0.428571429,0.001913876,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 43% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,typical floral syndrome,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/c/cc/Comesperma_ericinum.JPG
Commelina,Commelinaceae,Commelinales,0,0,0.4375,0,0,1,.,.,1,.,.,7.00125,33.06139589,About 44% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,Mixed mating system,Mixed reproductive syndrome,Insect-pollinated,Low extinction risk,Temperate climates,Medium genome,High variation,https://upload.wikimedia.org/wikipedia/commons/9/97/Commelina_communis_bgiu_02.jpg
Commersonia,Malvaceae,Malvales,0,0,1,1,0.006153846,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 1% of species are agricultural,radial symmetry,selfing,generalist reproduction,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/ba/Commersonia_bartramia_%281%29.jpg
Conopodium,Apiaceae,Apiales,0,0,.,0,0.003968254,.,1,1,1,.,.,.,.,About 95% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,dioecious,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/2/2d/Conopodium_majus_03.jpg
Conospermum,Proteaceae,Proteales,0,0,1,1,0.000625,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 0% of species are agriculturally important,radial symmetry,mixed mating system,unknown reproductive syndrome,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/5/5f/Smoke_Bush_Towlers_Track2.jpg
Conringia,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,1,1,1,.,.,0.23,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are annual or biennial,radial,selfing,obligate selfing,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/6/60/Conringia_orientalis_eF.jpg
Consolida,Ranunculaceae,Ranunculales,0,0,0,0,0,.,1,1,1,4,.,5.665,50.70520024,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,herbaceous,wind-pollinated,high risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/6/6c/Consolida_ajacis_sl3.jpg
Convolvulus,Convolvulaceae,Solanales,0,0,0.859375,0.058823529,0.044375,0,1,0.5,1,1,.,1.202,26.91575983,About 86% of species are perennial,About 6% of species are woody,About 4% of species are agricultural,radial,mixed mating system,dioecious with some capacity for autogamy,insect-pollinated,moderate risk,temperate climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/c/cb/Convolvulus_arvensis_bg.jpg
Conyza,Asteraceae,Asterales,1.086956522,0.125,0.045454545,0,0.00210989,0,.,.,1,.,.,.,.,About 5% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,mixed mating system,unknown reproductive syndrome,wind-pollinated,low extinction risk,temperate climates,medium genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/85/Conyza_podocephala_1DS-II_4-2778.jpg
Coprosma,Rubiaceae,Gentianales,3.03030303,0.318181818,1,0.818181818,6.00E-04,.,.,.,.,1,.,1.33,5.31659234,About 100% of species are perennial,About 82% of species are woody,About 0% of species are agricultural,radial,selfing,vertebrate-pollinated,insect-pollinated,moderate risk,temperate climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/c/c8/Coprosma_rhamnoides_11.JPG
Corallorhiza,Orchidaceae,Asparagales,0,0,1,0,0,.,.,.,1,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,obligate selfing,self-pollination,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/a/a4/Corallorrhiza_trifida_02_mg-k.jpg
Cordylanthus,Orobanchaceae,Lamiales,0,0,0,0,0,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are annual,radial,selfing,seed reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/9e/Cordylanthus_parviflorus_6.jpg
Coreopsis,Asteraceae,Asterales,0,0,0.552631579,0.035714286,0.00210989,.,.,.,.,.,.,2.025,33.17291072,About 55% of species are perennial,About 4% of species are woody,About 0% of species are cultivated,Flowers exhibit radial symmetry,Mating system is primarily self-incompatible,Reproduction is achieved through apomixis,Pollination is facilitated by flies,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/1/1e/Coreopsisgigantea.jpg
Coris,Primulaceae,Ericales,0,0,0.5,0,0,.,.,.,1,.,.,.,.,About 50% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,sexual reproduction,insect-pollinated,moderate risk,temperate climates,medium genome,moderate variation,No image found
Corispermum,Amaranthaceae,Caryophyllales,0,0,0,0,0.041463415,.,1,1,1,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 4% of species are agroforestry,radial or bilateral,selfing,wind-pollinated,wind-pollinated,low extinction risk,temperate climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/6f/Illustration_Corispermum_intermedium0_clean.JPG
Cornus,Cornaceae,Cornales,1.322751323,0.178571429,0.964285714,0.75,0,.,1,0.6,1,2,.,1.83,74.29835431,About 96% of species are perennial,About 75% of species are woody,About 0% of species are agamospermous,radial symmetry,selfing,"high nectar reward, conspicuous petals",insect-pollinated,moderate risk,temperate climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/4/49/Bgbo_cornus_kousa_var_chinensis_ies.jpg
Coronilla,Fabaceae,Fabales,0,0,0.583333333,0.333333333,0.096494845,.,1,1,1,.,.,.,.,About 58% of species are perennial,About 33% of species are woody,About 10% of species are agricultural,radial,selfing,vegetative reproduction,wind-pollinated,low extinction risk,temperate climates,medium genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/95/Coronilla_minima8.jpg
Coronopus,Brassicaceae,Brassicales,0,0,0.136363636,0,0.00485306,.,.,.,.,.,.,.,.,About 14% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,mixed mating system,self-pollination,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/0/04/Kleine_varkenskers_stukje_plant_Coronopus_didymus.jpg
Correa,Rutaceae,Sapindales,33.33333333,0.833333333,1,1,0.001652893,.,.,.,.,.,.,1.33,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agriculturally significant,Radial symmetry is common,Mixed mating systems are likely,Obligate cross-pollination is probable,Pollination by abiotic means is possible,Low extinction risk,Temperate climates are typical,Small genome size,Moderate variation in genome size,No image found
Corrigiola,Molluginaceae,Caryophyllales,0,0,0.5,0,0.022988506,.,1,1,1,.,.,0.49,.,About 50% of species are perennial,About 0% of species are woody,About 2% of species are agricultural,radial symmetry,selfing,vegetative reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/e/ef/CorrigiolaLitoralis1.jpg
Cortaderia,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,0,.,.,3.885,14.09621067,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agriculturally important,radial symmetry,mixed mating system,insect pollination,insect-pollinated,moderate risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/e/e6/Cortaderia_selloana0.jpg
Corybas,Orchidaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,sexual reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,No image found
Corydalis,Papaveraceae,Ranunculales,0,0,0.573029198,0,0,.,1,1,1,.,.,0.7175,22.68468409,About 57% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,self-pollination,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/b5/Corydalis_solida_-_Bois_d%27Havr%C3%A9_%281%29.jpg
Corylus,Betulaceae,Fagales,2.222222222,0.1,1,1,0.054545455,.,1,1,0,1.5,.,0.45,0,About 100% of species are perennial,About 100% of species are woody,About 5% of species are agricultural,radial symmetry,selfing,annual reproduction,wind-pollinated,moderate risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/b/b0/Corylus_avellana_0001.JPG
Corynephorus,Poaceae,Poales,0,0,0.25,0,0.074314214,.,1,1,0,.,.,1.13,.,About 25% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,radial symmetry,selfing,obligate self-pollination,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/a/af/Silbergras2.jpg
Coryphantha,Cactaceae,Caryophyllales,0,0,1,0.666666667,0,.,.,.,.,2.8,.,.,.,About 100% of species are perennial,About 67% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,obligate xenogamy,insect-pollinated,moderate risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/6c/Nightblooming_cactus.jpg
